personid,post,performance,age,tenure,grosswage,children,bedroom,commute,men,married,wfh
29012,0,-.60245162,20,26,1.2744288,0,yes,40,0,0,0
29012,1,-1.0168248,20,26,1.2744288,0,yes,40,0,0,0
29030,0,.12247834,28,26,2.4293523,0,yes,180,1,0,0
29030,1,-.63500774,28,26,2.4293523,0,yes,180,1,0,0
29032,0,-.38984469,23,26,2.6952755,0,yes,120,1,0,1
29032,1,-.81309962,23,26,2.6952755,0,yes,120,1,0,1
29192,0,.69646132,29,26,3.8379033,0,yes,120,1,0,0
29192,1,.70516866,29,26,3.8379033,0,yes,120,1,0,0
29216,0,.40302351,26,26,2.9735067,0,yes,50,1,0,1
29216,1,-.73279583,26,26,2.9735067,0,yes,50,1,0,1
29218,0,.64942729,24,26,3.4329321,0,yes,30,0,0,0
29218,1,.070697851,24,26,3.4329321,0,yes,30,0,0,0
29230,0,.54962552,24,26,3.4854589,0,yes,70,0,0,1
29230,1,-.39090815,24,26,3.4854589,0,yes,70,0,0,1
29240,0,-.33761114,25,26,2.5492635,0,yes,170,1,0,0
29240,1,-1.1588095,25,26,2.5492635,0,yes,170,1,0,0
29558,0,.78929049,25,26,3.9397457,0,yes,80,1,1,0
29558,1,-1.1859994,25,26,3.9397457,0,yes,80,1,1,0
29594,0,.71894532,23,26,3.6993778,0,yes,120,0,0,0
29594,1,.36717793,23,26,3.6993778,0,yes,120,0,0,0
29626,0,-.92321765,23,26,3.5540123,0,yes,40,1,0,0
29626,1,-1.5729125,23,26,3.5540123,0,yes,40,1,0,0
29746,0,.68258446,23,25,2.9760733,0,yes,40,0,0,0
29746,1,.28460795,23,25,2.9760733,0,yes,40,0,0,0
29750,0,.099884346,22,25,2.7162199,0,yes,40,0,0,0
29750,1,-.47295791,22,25,2.7162199,0,yes,40,0,0,0
29770,0,.20676316,24,25,4.3264756,0,yes,35,0,0,0
29770,1,-1.5321171,24,25,4.3264756,0,yes,35,0,0,0
29790,0,.12976371,22,25,2.5431232,0,yes,120,0,0,0
29790,1,-.68007481,22,25,2.5431232,0,yes,120,0,0,0
29808,0,-.86989993,25,25,3.0939734,1,yes,32,1,1,1
29808,1,-.000025678088,25,25,3.0939734,1,yes,32,1,1,1
29838,0,-.55600321,26,25,3.9435601,1,yes,60,1,1,0
29838,1,-.71924561,26,25,3.9435601,1,yes,60,1,1,0
29964,0,.14262056,26,25,2.4840245,1,yes,160,0,1,0
29964,1,-.42161515,26,25,2.4840245,1,yes,160,0,1,0
30006,0,-.22568052,24,25,3.2888489,0,yes,60,0,0,1
30006,1,-.87182164,24,25,3.2888489,0,yes,60,0,0,1
30014,0,.16178729,30,25,4.3416367,0,yes,50,1,0,1
30014,1,.020806516,30,25,4.3416367,0,yes,50,1,0,1
30262,0,.60785532,25,25,3.5217209,0,yes,40,1,0,0
30262,1,-.16806374,25,25,3.5217209,0,yes,40,1,0,0
30276,0,-.40326834,21,25,3.1930234,0,yes,120,1,0,0
30276,1,-.20140523,21,25,3.1930234,0,yes,120,1,0,0
30308,0,.82326567,21,25,3.7130811,0,no,50,0,0,1
30308,1,.5719499,21,25,3.7130811,0,no,50,0,0,1
30398,0,-.54805017,26,25,2.4336476,0,yes,30,1,0,0
30398,1,-.41469941,26,25,2.4336476,0,yes,30,1,0,0
30448,0,-.45293245,23,25,3.5930345,0,yes,60,1,0,1
30448,1,-1.19633,23,25,3.5930345,0,yes,60,1,0,1
30634,0,.38734695,23,25,3.2355044,0,yes,30,1,0,0
30634,1,-1.1362245,23,25,3.2355044,0,yes,30,1,0,0
30972,0,-.67906117,27,24,2.8467743,0,yes,120,1,0,1
30972,1,-.38864043,27,24,2.8467743,0,yes,120,1,0,1
31206,0,-.20423296,22,24,2.49878,0,yes,180,1,0,0
31206,1,-.36465412,22,24,2.49878,0,yes,180,1,0,0
